animal_name,hair,feathers,eggs,milk,airborne,aquatic,predator,toothed,backbone,breathes,venomous,fins,legs,tail,domestic,catsize,type
parakeet,,X,X,,X,,,,X,X,,,2,X,X,,2
penguin,,X,X,,,X,X,,X,X,,,2,X,,X,2
pheasant,,X,X,,X,,,,X,X,,,2,X,,,2
pike,,,X,,,X,X,X,X,,,X,0,X,,X,4
piranha,,,X,,,X,X,X,X,,,X,0,X,,,4
pitviper,,,X,,,,X,X,X,X,X,,0,X,,,3
platypus,X,,X,X,,X,X,,X,X,,,4,X,,X,1
polecat,X,,,X,,,X,X,X,X,,,4,X,,X,1
pony,X,,,X,,,,X,X,X,,,4,X,X,X,1
porpoise,,,,X,,X,X,X,X,X,,X,0,X,,X,1
puma,X,,,X,,,X,X,X,X,,,4,X,,X,1
pussycat,X,,,X,,,X,X,X,X,,,4,X,X,X,1
raccoon,X,,,X,,,X,X,X,X,,,4,X,,X,1
reindeer,X,,,X,,,,X,X,X,,,4,X,X,X,1
rhea,,X,X,,,,X,,X,X,,,2,X,,X,2
scorpion,,,,,,,X,,,X,X,,8,X,,,7
seahorse,,,X,,,X,,X,X,,,X,0,X,,,4
seal,X,,,X,,X,X,X,X,X,,X,0,,,X,1
sealion,X,,,X,,X,X,X,X,X,,X,2,X,,X,1
seasnake,,,,,,X,X,X,X,,X,,0,X,,,3
seawasp,,,X,,,X,X,,,,X,,0,,,,7
skimmer,,X,X,,X,X,X,,X,X,,,2,X,,,2
skua,,X,X,,X,X,X,,X,X,,,2,X,,,2
slowworm,,,X,,,,X,X,X,X,,,0,X,,,3
slug,,,X,,,,,,,X,,,0,,,,7
sole,,,X,,,X,,X,X,,,X,0,X,,,4
sparrow,,X,X,,X,,,,X,X,,,2,X,,,2
squirrel,X,,,X,,,,X,X,X,,,2,X,,,1
starfish,,,X,,,X,X,,,,,,5,,,,7
stingray,,,X,,,X,X,X,X,,X,X,0,X,,X,4
swan,,X,X,,X,X,,,X,X,,,2,X,,X,2
termite,,,X,,,,,,,X,,,6,,,,6
toad,,,X,,,X,,X,X,X,,,4,,,,5
tortoise,,,X,,,,,,X,X,,,4,X,,X,3
tuatara,,,X,,,,X,X,X,X,,,4,X,,,3
tuna,,,X,,,X,X,X,X,,,X,0,X,,X,4
vampire,X,,,X,X,,,X,X,X,,,2,X,,,1
vole,X,,,X,,,,X,X,X,,,4,X,,,1
vulture,,X,X,,X,,X,,X,X,,,2,X,,X,2
wallaby,X,,,X,,,,X,X,X,,,2,X,,X,1
wasp,X,,X,,X,,,,,X,X,,6,,,,6
wolf,X,,,X,,,X,X,X,X,,,4,X,,X,1
worm,,,X,,,,,,,X,,,0,,,,7
wren,,X,X,,X,,,,X,X,,,2,X,,,2
